plotID,collectDate,horizonName,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensThirdBar,bulkDensOvenDry,bulkDensFieldMoist,waterRetentionThirdBar,fieldWaterContent
MOAB_011,2016-04-16,Bk,35,49,42,1.012,NA,110,52.2,0.1,2,0,5.6,NA,54.3,100,NA,NA,NA,NA,7.8,8.4,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,0.4,6,2,0,0.03,0,74.8,24.3,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,0.9,82.3,76.7,70.9,16.8,12.3,2.9,NA,8,8.8,35.5,29.2,5,0.8,42,35,49,1.68,1.72,NA,12.3,NA
MOAB_011,2016-04-16,BCkk,68,100,84,1.01,NA,580,49.3,0,2.4,0,2.2,NA,51.7,100,NA,NA,NA,NA,7.9,8.6,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,0.5,4,2,0.1,0,0,1,0,0,0.01,0,0.1,0,NA,NA,NA,NA,NA,1.6,40.9,37,58.6,15.9,25.5,22.7,NA,10.2,5.7,17.7,20.5,8.2,7,84,68,100,1.34,1.34,NA,18.5,NA
MOAB_011,2016-04-16,A,0,10,5,1.014,NA,10,15.8,0.4,1.7,0,8.3,NA,17.9,100,NA,NA,NA,NA,7.6,8.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.3,12,4,0,0.05,0,189.2,57.8,0.02,0.01,0,0.2,0,NA,NA,NA,NA,NA,5.7,9.3,28.1,71.9,17.8,10.3,0,NA,7.1,10.7,37.9,29.1,4.3,0.5,5,0,10,NA,NA,1.63,NA,2.6
MOAB_011,2016-04-16,Bw,10,35,22.5,1.016,NA,40,52.2,0.3,2,0,7.7,NA,54.5,100,NA,NA,NA,NA,7.8,8.3,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,0.4,10,4,0,0.04,0,143.7,30.6,0.01,0.01,0,0.4,0,NA,NA,NA,NA,NA,1,13.9,39.4,69,20,11,0,NA,7.7,12.3,35.9,27.4,5,0.5,22.5,10,35,1.48,1.52,NA,9.2,NA
MOAB_011,2016-04-16,Bkk,49,68,58.5,1.011,NA,480,51.8,0,2,0,3.5,NA,53.8,100,NA,NA,NA,NA,7.8,8.5,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8,0.5,3,1,0.2,0.01,0,13,0,0,0.01,0,0.1,0,NA,NA,NA,NA,NA,2.4,90.1,74.2,65.7,15.7,18.6,14.1,NA,8.7,7,24.1,25.1,8.2,5,58.5,49,68,1.64,1.66,NA,12.8,NA
MOAB_006,2016-04-26,Bk,76,96,86,1.006,NA,280,47,0,5.4,0,1.5,NA,52.4,100,NA,NA,NA,NA,8,8.9,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,0.2,2,0,0,0,0,25.8,0,0,0,0,0.2,0,NA,NA,NA,NA,NA,0.3,32.1,82.8,75.8,14.8,9.4,5.9,NA,8.6,6.2,38.9,24.3,7.7,3.2,NA,NA,NA,NA,NA,NA,NA,NA
MOAB_006,2016-04-26,A,0,10,5,1.006,NA,10,9.7,0.2,1.6,0,3.4,NA,11.5,100,NA,NA,NA,NA,7.6,8.2,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,0.4,6,2,0,0.02,0,107.4,44.6,0,0,0,0.2,0,NA,NA,NA,NA,NA,4.3,2.9,6.6,88.8,5.1,6.1,1.2,NA,1.5,3.6,58.4,29.1,1.1,0.1,5,0,10,1.55,1.58,NA,9.1,NA
MOAB_006,2016-04-26,Bt2,59,76,67.5,1.009,NA,350,49.5,0.1,3.2,0,2.6,NA,52.8,100,NA,NA,NA,NA,7.9,8.6,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,0.4,4,2,0.1,0.01,0,30,11,0,0.01,0,0.2,0,NA,NA,NA,NA,NA,0.7,49.8,142.4,67.7,16.1,16.2,11.5,NA,9.5,6.6,30.7,22.7,6.1,3.7,67.5,59,76,1.67,1.69,NA,10.8,NA
MOAB_015,2016-04-26,A,0,5,2.5,1.011,NA,0,7.7,0.3,2.5,0,6,NA,10.5,100,NA,NA,NA,NA,7.4,7.9,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.4,7,3,0,0.04,0,229.6,71.8,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,5,2.1,1,76.4,16.1,7.5,0,NA,6.3,9.8,52.9,21.4,1.8,0.2,2.5,0,5,NA,NA,1.51,NA,1.8
MOAB_015,2016-04-26,Bt1,5,32,18.5,1.016,NA,20,41.7,0.3,3.4,0,7.3,NA,45.4,100,NA,NA,NA,NA,7.8,8.4,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.3,7,2,0,0.05,0,312.2,37.9,0.02,0,0,0.4,0,NA,NA,NA,NA,NA,0.6,0,2,67.7,18.4,13.9,0,NA,8,10.4,47,19.3,1.3,0.1,18.5,5,32,1.54,1.58,NA,13.5,NA
MOAB_006,2016-04-26,Bt1,38,59,48.5,1.011,NA,140,51.7,0.4,2.9,0,4.5,NA,55,100,NA,NA,NA,NA,7.9,8.5,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,0.3,7,2,0,0.03,0,88.5,10.1,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,0.5,23.3,91.9,69.8,16.9,13.3,5.4,NA,8,8.9,43.8,20.8,3.5,0.9,48.5,38,59,1.66,1.7,NA,13.5,NA
MOAB_015,2016-04-26,BC,44,61,52.5,1.009,NA,200,51.1,0,6.4,0,2.9,NA,57.5,100,NA,NA,NA,NA,8,8.8,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,0.2,3,1,0,0.02,0.03,99.7,51.8,0,0.01,0,0.2,0,NA,NA,NA,NA,NA,0.3,0,1.3,64.4,20.7,14.9,7.3,NA,11.8,8.9,38.4,21.9,3,0.7,52.5,44,61,NA,NA,1.66,NA,9.4
MOAB_006,2016-04-26,Bw,10,38,24,1.01,NA,20,34.1,0.4,2.5,0,5,NA,37,100,NA,NA,NA,NA,7.8,8.4,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.3,7,2,0.1,0.03,0,162,64.2,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,0.8,6.4,16.2,78.4,12.4,9.2,1.2,NA,3.9,8.5,54.5,21.7,1.6,0.3,24,10,38,1.43,1.46,NA,10.2,NA
MOAB_015,2016-04-26,Bt2,32,44,38,1.012,NA,120,51.7,0.1,4.9,0,4.6,NA,56.7,100,NA,NA,NA,NA,7.9,8.6,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.2,12,2,0,0.04,0,160,21.4,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,0.3,2.1,2.3,64.2,20.1,15.7,5.4,NA,10.5,9.6,43.6,17.9,2.4,0.2,38,32,44,1.69,1.73,NA,11.5,NA
MOAB_028,2016-04-27,A,0,9,4.5,1.027,NA,300,60.9,0.6,2.1,0,14.2,NA,63.6,100,NA,NA,NA,NA,7.7,8.1,0.25,NA,0,5.4,0.2,0,0.62,0,53.5,3,0.1,0.5,0,2,1,0,7.9,NA,0.2,44.1,0.8,10,8,0.1,0.05,0,143.3,243.7,0.02,0.1,0,0.7,0,NA,NA,NA,NA,NA,6.4,23.1,85.5,25.3,37.5,37.2,7.2,NA,31.9,5.6,10,11.6,2.5,0.7,4.5,0,9,1.27,1.4,NA,18.8,NA
MOAB_016,2016-04-27,Bt1,7,22,14.5,1.012,NA,40,46.2,0.4,4.3,0,6.1,NA,50.9,100,NA,NA,NA,NA,7.9,8.5,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,0.3,7,2,0,0.04,0,160.9,65.4,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,1,7.9,2.9,72.9,16.8,10.3,1.8,NA,7.2,9.6,28.8,38.4,5,0.2,14.5,7,22,1.49,1.54,NA,14.1,NA
MOAB_003,2016-04-27,A,0,11,5.5,1.02,NA,230,52.4,0.6,7.3,0,9.4,NA,60.3,100,NA,NA,NA,NA,7.9,8.4,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,0.4,14,6,0.1,0.03,0,38.3,136.5,0.02,0.04,0,0.4,0,NA,NA,NA,NA,NA,5.8,36.3,130.8,52.9,27.9,19.2,4.3,NA,15.1,12.8,21,23.8,4.3,2.3,5.5,0,11,NA,NA,0.92,NA,7.4
MOAB_016,2016-04-27,Bk1,52,73,62.5,1.01,NA,210,50,0.3,9,0,3.8,NA,59.3,100,NA,NA,NA,NA,8.1,8.8,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8,0,NA,2,0.1,0.02,0,29.6,27.1,0.01,0.01,0,0.2,0,NA,NA,NA,NA,NA,1.4,62.4,29,70.7,11.9,17.4,9.8,NA,6.3,5.6,23,33.8,7.6,3,62.5,52,73,1.55,1.6,NA,12.7,NA
MOAB_025,2016-04-27,Btk2,48,81,64.5,1.028,NA,240,49.8,0.4,14.5,0.1,12.9,NA,64.8,100,NA,NA,NA,NA,8.2,8.6,0.34,NA,0,2,2.8,0,0.84,0.1,62.7,2,0,3.4,1.5,0,0.1,0,8.5,NA,2.4,30.5,0.2,6,1,0.2,0.03,0,102.8,76.8,0.03,0.01,0,0.3,0,NA,NA,NA,NA,NA,0.4,13.3,9.8,34.1,30.1,35.8,15.9,NA,12.9,17.2,29.3,3.8,0.9,0.1,64.5,48,81,1.62,1.8,NA,17.5,NA
MOAB_025,2016-04-27,A,0,7,3.5,1.018,NA,90,52.3,0.6,3.2,0,10.1,NA,56.1,100,NA,NA,NA,NA,7.7,8.1,0.33,NA,0,10.5,0.3,0,1.25,0,38.1,7.1,0.5,2,0,4.3,0.6,0,7.8,NA,0.4,26,1,15,16,0.2,0.04,0,103.8,28.5,0.01,0.05,0,0.2,0,NA,NA,NA,NA,NA,6.7,34.6,40.3,66.9,19,14.1,3.5,NA,6.9,12.1,3.7,30.2,28.3,3.3,3.5,0,7,1.19,1.26,NA,19.1,NA
MOAB_016,2016-04-27,Bt2,22,52,37,1.012,NA,70,46.9,0.5,5,0,5,NA,52.4,100,NA,NA,NA,NA,8,8.6,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,0,NA,1,0,0.03,0,112.6,31,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,0.6,7.3,2.8,71.1,17.9,11,2.6,NA,7.7,10.2,32.4,32.8,4.3,1,37,22,52,1.48,1.52,NA,12.2,NA
MOAB_025,2016-04-27,Bk,7,24,15.5,1.043,NA,220,63.4,0.5,8,0,21.4,NA,71.9,100,NA,NA,NA,NA,7.8,8.3,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,1.4,12,17,0.2,0.03,0.03,83.7,244,0.03,0.21,0,0.2,0,NA,NA,NA,NA,NA,3.8,39.2,27.2,40.1,26.8,33.1,10.8,NA,13.5,13.3,3.2,21.7,13.9,0.9,15.5,7,24,1.08,1.15,NA,21.3,NA
MOAB_028,2016-04-27,Bk,9,28,18.5,1.026,NA,460,57.9,0.4,2.3,0,13.9,NA,60.6,100,NA,NA,NA,NA,7.8,8.4,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,0.6,9,5,0.1,0.02,0,93.3,168.3,0,0.11,0,0.4,0,NA,NA,NA,NA,NA,1.9,102.7,6.8,5.4,66.1,28.5,3.8,NA,49.2,16.9,4.4,0.7,0.2,0.1,18.5,9,28,1.49,1.66,NA,17.9,NA
MOAB_002,2016-04-27,Bk2,71,100,85.5,1.008,0,160,50.7,0.2,2.7,0,3,NA,53.6,100,NA,NA,NA,NA,7.9,8.2,0.57,NA,0,16.9,0.9,0,2.21,0,32.4,2.5,0.7,8.4,0.5,0,0.1,0,7.8,NA,24.3,21,0.1,12,1,0.1,0.01,0,30.3,41.4,0.01,0,0,0.2,0,NA,NA,NA,NA,NA,1.1,1.5,1.3,74.9,12.4,12.7,5.9,NA,5.8,6.6,27.3,42.1,2.8,2.3,85.5,71,100,1.56,1.6,NA,11.2,NA
MOAB_002,2016-04-27,Bw2,23,52,37.5,1.01,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,8.6,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.3,7,2,0,0.03,0,158.3,56.9,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,1.5,3.6,0.4,75.1,14.2,10.7,1.5,NA,4.3,9.9,38.3,32.6,3.7,0.5,37.5,23,52,1.52,1.55,NA,11.3,NA
MOAB_016,2016-04-27,A,0,7,3.5,1.008,NA,20,23.8,0.4,3,0,5.2,NA,27.2,100,NA,NA,NA,NA,7.6,8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,0.5,9,4,0,0.03,0,136.6,110.1,0.01,0.01,0,0.2,0,NA,NA,NA,NA,NA,7.7,2.9,1.1,79.8,14.1,6.1,0,NA,4.6,9.5,36,38.6,4.3,0.8,3.5,0,7,NA,NA,1.48,NA,4.8
MOAB_002,2016-04-27,A,0,7,3.5,1.008,NA,0,7,0.4,1.4,0,4.8,NA,8.8,100,NA,NA,NA,NA,7.5,7.9,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,0.5,9,4,0.1,0.03,0,129.3,78,0.01,0,0,0.3,0,NA,0.5,NA,NA,NA,11.1,0,0,83.5,8.6,7.9,0,NA,2.2,6.4,33.5,44.5,4.6,0.8,3.5,0,7,NA,NA,1.53,NA,3.7
MOAB_013,2016-04-27,Btk,21,49,35,1.012,NA,40,47.1,0.3,2.1,0,4.8,NA,49.5,100,NA,NA,NA,NA,7.9,8.5,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,0.3,9,3,0,0.03,0,139.7,12.2,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,1.1,5.1,4.1,76.5,11.2,12.3,2.3,NA,4.2,7,40.6,32.7,2.7,0.3,35,21,49,1.51,1.55,NA,8.3,NA
MOAB_002,2016-04-27,Bw1,7,23,15,1.011,NA,10,10.2,0.6,2,0,5.5,NA,12.8,100,NA,NA,NA,NA,7.8,8.4,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,0.3,8,2,0,0.03,0,159,54.4,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,5.1,3.4,0,78.8,11.1,10.1,0,NA,3.4,7.7,40,33.9,4.1,0.7,15,7,23,1.64,1.68,NA,11.3,NA
MOAB_002,2016-04-27,Bk1,52,71,61.5,1.009,NA,130,49.1,1.2,2.2,0,3.3,NA,52.5,100,NA,NA,NA,NA,7.9,8.7,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,0.4,2,1,0,0.03,0,72.5,38.7,0,0,0,0.3,0,NA,NA,NA,NA,NA,1.2,94.5,196.8,74.5,10.6,14.9,5.9,NA,5.2,5.4,31.4,35.8,5.5,1.6,61.5,52,71,1.61,1.65,NA,9.9,NA
MOAB_013,2016-04-27,A,0,9,4.5,1.009,NA,0,6.8,0.4,1.3,0,5.2,NA,8.5,100,NA,NA,NA,NA,7.3,7.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,0.5,10,5,0.1,0.03,0,138.3,83.2,0.01,0,0,0.2,0,NA,0.3,NA,NA,NA,10.5,0,0,82.2,8.9,8.9,0,NA,2.5,6.4,40.3,38.8,2.5,0.4,4.5,0,9,NA,NA,1.52,NA,4.9
MOAB_025,2016-04-27,Btk1,24,48,36,1.032,NA,270,53.5,0.4,11.5,0,13.5,NA,65.4,100,NA,NA,NA,NA,8,8.6,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,0.4,7,3,0.2,0.03,0,79.1,33.5,0.03,0.03,0,0.2,0,NA,NA,NA,NA,NA,0.4,110.2,38.2,33.3,28.4,38.3,17.1,NA,11.9,16.5,24.7,6,2.3,0.3,36,24,48,1.5,1.66,NA,21,NA
MOAB_016,2016-04-27,Bk2,73,100,86.5,1.011,NA,270,48.4,0.1,12.5,0,2.7,NA,61,100,NA,NA,NA,NA,8.3,9,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0.1,11,1,0.1,0.01,0,7.2,0,0.01,0.01,0,0.1,0,NA,NA,NA,NA,NA,1,125.2,91,72,9.6,18.4,12.7,NA,5.6,4,20.2,38.3,7.2,4,86.5,73,100,1.47,1.53,NA,13.4,NA
MOAB_003,2016-04-27,BC,11,31,21,1.024,NA,210,51.4,0.3,12.7,0,10.7,NA,64.4,100,NA,NA,NA,NA,8,8.5,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,0.7,15,11,0,0.01,0,71.4,76.5,0.03,0.11,0,0.5,0,NA,NA,NA,NA,NA,1.8,202.4,203.8,58.1,26.3,15.6,3.2,NA,15.7,10.6,26.1,26.1,4,1.5,21,11,31,NA,NA,1.09,NA,6.3
MOAB_013,2016-04-27,Bt,9,21,15,1.013,NA,10,13.8,0.5,1.7,0,6.5,NA,16,100,NA,NA,NA,NA,7.7,8.3,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.3,9,3,0,0.04,0,178.2,52.2,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,4.3,1.2,2.1,77.4,10.4,12.2,0,NA,3.6,6.8,40.9,33.7,2.3,0.4,15,9,21,1.6,1.66,NA,8.1,NA
MOAB_010,2016-04-28,Bw1,6,23,14.5,1.012,NA,10,13,0.3,1.3,0,6,NA,14.6,100,NA,NA,NA,NA,7.8,8.4,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,0.6,4,2,0,0.03,0,164.2,18,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,2.6,27.1,67.6,77.2,12.6,10.2,0,NA,3.8,8.8,27.2,45.4,4.3,0.2,14.5,6,23,1.68,1.71,NA,11.1,NA
MOAB_010,2016-04-28,Bw2,23,41,32,1.009,NA,50,47.1,0.1,1.7,0,3.8,NA,48.9,100,NA,NA,NA,NA,8,8.5,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,0.4,5,2,0,0.03,0,91.3,46.2,0.01,0.01,0,0.2,0,NA,NA,NA,NA,NA,1.2,8.8,0,77.5,12.2,10.3,2.9,NA,3.3,8.9,23.6,47.6,5.7,0.5,32,23,41,1.52,1.54,NA,6.2,NA
MOAB_010,2016-04-28,Bk,41,77,59,1.007,NA,60,42.8,0.1,1.5,0,3.1,NA,44.4,100,NA,NA,NA,NA,8,8.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,0.3,4,1,0,0.02,0,51,41.8,0,0.01,0,0.2,0,NA,NA,NA,NA,NA,1.2,5.3,1.4,82.3,8.6,9.1,3.1,NA,2.3,6.3,19.7,55.4,5.4,1,59,41,77,NA,NA,1.63,NA,4.1
MOAB_010,2016-04-28,A,0,6,3,1.009,NA,0,5.7,0.3,1.1,0,4.5,NA,7.1,100,NA,NA,NA,NA,7.4,7.9,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.6,5,3,0.1,0.02,0,132.3,51.3,0.01,0,0,0.2,0,NA,0,NA,NA,NA,8.4,3.6,2.3,79.5,12.6,7.9,0,NA,4,8.6,30,45,4.3,0.2,3,0,6,NA,NA,1.68,NA,7.9
MOAB_010,2016-04-28,C,77,100,88.5,1.007,NA,40,45,0.2,2.7,0,3.9,NA,47.9,100,NA,NA,NA,NA,8.1,8.7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,0.4,2,1,0,0.02,0,93.7,0,0,0,0,0.2,0,NA,NA,NA,NA,NA,0.8,35,83.4,82.7,8.4,8.9,2,NA,1.9,6.5,27.8,44.7,9.4,0.5,88.5,77,100,NA,NA,1.71,NA,4.7
MOAB_046,2016-04-28,Bk1,37,68,52.5,1.013,NA,150,53.5,0.3,5.7,0,5.5,NA,59.5,100,NA,NA,NA,NA,8,8.6,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,0.3,7,2,0.1,0.03,0,74.3,83.4,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,1.2,88.2,163.7,61.5,19.5,19,9,NA,6.6,12.9,38,19.3,2.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA
MOAB_046,2016-04-28,A,0,8,4,1.012,NA,0,7.2,0.6,2,0,6.9,NA,9.8,100,NA,NA,NA,NA,7.4,7.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,0.6,6,4,0,0.04,0,233.7,110.9,0.02,0.02,0,0.4,0,NA,0.6,NA,NA,NA,9.6,0,0,71.6,18.3,10.1,NA,NA,5,13.3,46.8,22.9,1.6,0.3,4,0,8,NA,NA,1.49,NA,6.6
