soilMoisture,collectDate,plotID,sampleID,soilInWaterpH,soilInCaClpH
0.031,2016-07-28,ONAQ_012,ONAQ_012-M-34-25.5-20160728,8.54,8.26
0.054,2016-07-28,ONAQ_017,ONAQ_017-M-22.5-5-20160728,8.11,7.57
0.054,2016-07-28,ONAQ_017,ONAQ_017-M-39-24-20160728,8.35,7.59
0.048,2016-07-28,ONAQ_017,ONAQ_017-M-15.5-34-20160728,8.13,7.25
0.063,2016-07-29,ONAQ_010,ONAQ_010-M-25.5-35-20160729,8.12,7.36
0.074,2016-07-29,ONAQ_010,ONAQ_010-M-38.5-15.5-20160729,7.82,7.47
0.034,2016-07-29,ONAQ_010,ONAQ_010-M-6.5-11.5-20160729,7.78,7.01
0.047,2016-07-29,ONAQ_002,ONAQ_002-M-36-4-20160729,8.44,7.53
0.047,2016-07-29,ONAQ_002,ONAQ_002-M-4.5-32.5-20160729,8.39,8.47
0.037,2016-07-29,ONAQ_041,ONAQ_041-M-6-1.5-20160729,8.5,7.55
0.063,2016-07-29,ONAQ_041,ONAQ_041-M-21.5-33-20160729,8.84,7.56
0.036,2016-07-29,ONAQ_041,ONAQ_041-M-17.5-31-20160729,8.76,7.64
0.045,2016-07-30,ONAQ_008,ONAQ_008-M-6.5-14.5-20160730,8.1,7.61
0.052,2016-07-30,ONAQ_008,ONAQ_008-M-27-9.5-20160730,7.98,7.52
0.071,2016-07-30,ONAQ_008,ONAQ_008-M-25-32.5-20160730,8.03,7.48
0.049,2016-11-06,ONAQ_043,ONAQ_043-M-4-17.5-20161106,8.33,7.38
0.051,2016-11-06,ONAQ_043,ONAQ_043-M-25.5-0.5-20161106,8.33,7.42
0.038,2016-11-06,ONAQ_043,ONAQ_043-M-0.5-31-20161106,8.33,7.51
0.052,2016-11-06,ONAQ_041,ONAQ_041-M-15.5-9-20161106,8.23,7.4
0.047,2016-11-06,ONAQ_041,ONAQ_041-M-23.5-7.5-20161106,8.25,7.66
0.35,2016-11-06,ONAQ_041,ONAQ_041-M-36-27-20161106,8.26,7.52
0.047,2016-11-07,ONAQ_042,ONAQ_042-M-13.5-2-20161107,8.32,7.39
0.048,2016-11-07,ONAQ_042,ONAQ_042-M-31-1.5-20161107,8.38,7.3
0.044,2016-11-07,ONAQ_042,ONAQ_042-M-9-23.5-20161107,8.52,7.32
0.046,2016-11-07,ONAQ_044,ONAQ_044-M-8.5-13-20161107,8.31,7.38
0.044,2016-11-07,ONAQ_044,ONAQ_044-M-31-3.5-20161107,8.35,7.29
0.046,2016-11-07,ONAQ_044,ONAQ_044-M-4-29-20161107,8.37,7.31
0.087,2016-11-07,ONAQ_004,ONAQ_004-M-5-13.5-20161107,8.91,7.58
0.075,2016-11-07,ONAQ_004,ONAQ_004-M-6-37.5-20161107,8.57,7.44
0.081,2016-11-07,ONAQ_004,ONAQ_004-M-31-17-20161107,8.45,7.42
0.113,2016-11-08,ONAQ_007,ONAQ_007-M-3-4-20161108,7.92,7.25
0.026,2016-11-08,ONAQ_007,ONAQ_007-M-33-3-20161108,8.19,7.2
0.101,2016-11-08,ONAQ_007,ONAQ_007-M-24.5-30-20161108,8.23,7.26
0.066,2016-11-08,ONAQ_003,ONAQ_003-M-31-14.5-20161108,8.08,7.35
0.045,2016-11-08,ONAQ_003,ONAQ_003-M-22.5-38.5-20161108,8.15,7.39
0.068,2016-11-08,ONAQ_003,ONAQ_003-M-9-37.5-20161108,8.12,7.29
0.352,2016-11-09,ONAQ_008,ONAQ_008-M-0-4.5-20161109,7.49,7.53
0.314,2016-11-09,ONAQ_008,ONAQ_008-M-14.5-36.5-20161109,7.79,7.06
0.283,2016-11-09,ONAQ_008,ONAQ_008-M-35-1-20161109,7.58,7.04
0.315,2016-11-09,ONAQ_012,ONAQ_012-M-3.5-6-20161109,7.27,6.72
0.307,2016-11-09,ONAQ_012,ONAQ_012-M-34.5-17-20161109,7.49,6.68
0.359,2016-11-09,ONAQ_012,ONAQ_012-M-31.5-24-20161109,7.53,7.11
0.092,2016-11-10,ONAQ_017,ONAQ_017-M-0.5-28-20161110,7.62,7.1
0.179,2016-11-10,ONAQ_017,ONAQ_017-M-21-0-20161110,7.83,7.16
0.1,2016-11-10,ONAQ_017,ONAQ_017-M-21.5-39.5-20161110,7.53,6.96
0.051,2016-11-10,ONAQ_005,ONAQ_005-M-31.5-29-20161110,7.69,6.95
0.045,2016-11-10,ONAQ_005,ONAQ_005-M-30-6.5-20161110,7.75,7.07
0.041,2016-11-10,ONAQ_005,ONAQ_005-M-13-8-20161110,7.84,7.01
0.073,2016-11-11,ONAQ_010,ONAQ_010-M-3-4-20161111,7.52,7.08
0.089,2016-11-11,ONAQ_010,ONAQ_010-M-33-3-20161111,7.68,7.08
0.138,2016-11-11,ONAQ_010,ONAQ_010-M-33-33.5-20161111,7.61,6.98
0.274,2017-04-03,ONAQ_004,ONAQ_004-M-5.5-23-20170403,7.76,6.55
0.679,2017-04-03,ONAQ_004,ONAQ_004-M-34-26.5-20170403,7.31,6.71
0.288,2017-04-04,ONAQ_004,ONAQ_004-M-21.5-6-20170404,7.6,6.05
0.308,2017-04-04,ONAQ_002,ONAQ_002-M-2.5-11-20170404,8.17,7.06
0.305,2017-04-04,ONAQ_002,ONAQ_002-M-14-36.5-20170404,8.51,7.18
0.313,2017-04-04,ONAQ_002,ONAQ_002-M-31.5-23-20170404,8.12,7.13
0.251,2017-04-05,ONAQ_010,ONAQ_010-M-37-4-20170405,7.63,6.93
0.331,2017-04-05,ONAQ_010,ONAQ_010-M-4-21-20170405,7.71,7.11
0.225,2017-04-05,ONAQ_010,ONAQ_010-M-2-11.5-20170405,7.68,7.02
0.265,2017-04-05,ONAQ_008,ONAQ_008-M-20-3-20170405,8.03,7
0.212,2017-04-05,ONAQ_008,ONAQ_008-M-35-31-20170405,7.77,6.99
0.137,2017-04-05,ONAQ_008,ONAQ_008-M-13-38.5-20170405,7.6,6.83
0.194,2017-04-06,ONAQ_003,ONAQ_003-M-15-3-20170406,8.76,7.11
0.192,2017-04-06,ONAQ_003,ONAQ_003-M-27-6.5-20170406,8.88,7.24
0.219,2017-04-06,ONAQ_003,ONAQ_003-M-39.5-28.5-20170406,8.07,7.11
0.159,2017-04-06,ONAQ_005,ONAQ_005-M-6.5-30-20170406,7.87,6.95
0.211,2017-04-06,ONAQ_005,ONAQ_005-M-37-34-20170406,8.04,7.04
0.194,2017-04-06,ONAQ_005,ONAQ_005-M-38.5-6-20170406,8.05,6.87
0.193,2017-04-10,ONAQ_043,ONAQ_043-M-8.5-17-20170410,7.53,6.58
0.184,2017-04-10,ONAQ_043,ONAQ_043-M-31.5-19.5-20170410,7.6,6.78
0.151,2017-04-10,ONAQ_043,ONAQ_043-M-39.5-28.5-20170410,7.49,6.54
0.153,2017-04-11,ONAQ_042,ONAQ_042-M-11-6.5-20170411,7.34,6.73
0.158,2017-04-11,ONAQ_042,ONAQ_042-M-33.5-9-20170411,7.32,6.64
0.158,2017-04-11,ONAQ_042,ONAQ_042-M-24-35-20170411,7.39,6.56
0.133,2017-04-11,ONAQ_044,ONAQ_044-M-37-14-20170411,7.26,6.5
0.152,2017-04-11,ONAQ_044,ONAQ_044-M-38-30.5-20170411,7.02,6.57
0.145,2017-04-11,ONAQ_044,ONAQ_044-M-19-33.5-20170411,7.39,6.37
0.178,2017-04-11,ONAQ_041,ONAQ_041-M-1.5-18.5-20170411,7.45,6.64
0.168,2017-04-11,ONAQ_041,ONAQ_041-M-7-25.5-20170411,7.33,6.66
0.174,2017-04-11,ONAQ_041,ONAQ_041-M-36.5-28-20170411,7.13,6.63
0.053,2017-06-25,ONAQ_002,ONAQ_002-M-10-30-20170625,8.09,7.29
0.058,2017-06-25,ONAQ_002,ONAQ_002-M-10.5-7-20170625,8.41,7.43
0.067,2017-06-25,ONAQ_002,ONAQ_002-M-22.5-0-20170625,8.41,7.42
0.061,2017-06-25,ONAQ_004,ONAQ_004-M-14.5-5-20170625,8.47,7.34
0.079,2017-06-25,ONAQ_004,ONAQ_004-M-7-21.5-20170625,9.29,7.81
0.041,2017-06-25,ONAQ_004,ONAQ_004-M-34.5-24-20170625,8.35,7.37
0.047,2017-06-26,ONAQ_005,ONAQ_005-M-15.5-7.5-20170626,8.26,7.49
0.062,2017-06-26,ONAQ_005,ONAQ_005-M-17.5-39.5-20170626,8.38,7.48
0.085,2017-06-26,ONAQ_005,ONAQ_005-M-27-35.5-20170626,8.57,7.66
0.077,2017-06-26,ONAQ_003,ONAQ_003-M-34.5-0.5-20170626,9.4,7.78
0.062,2017-06-26,ONAQ_003,ONAQ_003-M-34-34.5-20170626,8.23,7.38
0.052,2017-06-26,ONAQ_003,ONAQ_003-M-16-32-20170626,8.39,7.38
0.079,2017-06-27,ONAQ_010,ONAQ_010-M-12-3-20170627,7.55,7.07
0.056,2017-06-27,ONAQ_010,ONAQ_010-M-0.5-22-20170627,7.9,7.31
0.082,2017-06-27,ONAQ_010,ONAQ_010-M-38.5-13-20170627,8.02,7.26
0.046,2017-06-27,ONAQ_008,ONAQ_008-M-36.5-13.5-20170627,7.96,7.41
0.077,2017-06-27,ONAQ_008,ONAQ_008-M-4-30.5-20170627,8.34,7.45
0.055,2017-06-27,ONAQ_008,ONAQ_008-M-16-5.5-20170627,8.39,7.58
0.054,2017-06-28,ONAQ_041,ONAQ_041-M-19.5-2.5-20170628,8.88,7.55
0.05,2017-06-28,ONAQ_041,ONAQ_041-M-1.5-28.5-20170628,8.65,7.54
0.05,2017-06-28,ONAQ_041,ONAQ_041-M-23-35.5-20170628,8.68,7.42
0.059,2017-06-29,ONAQ_043,ONAQ_043-M-6-6-20170629,8.72,7.5
0.037,2017-06-29,ONAQ_043,ONAQ_043-M-7.5-35.5-20170629,8.59,7.4
0.041,2017-06-29,ONAQ_043,ONAQ_043-M-39.5-3.5-20170629,8.63,7.56
0.046,2017-06-29,ONAQ_042,ONAQ_042-M-19-3-20170629,8.85,7.51
0.039,2017-06-29,ONAQ_042,ONAQ_042-M-23.5-33.5-20170629,8.69,7.58
0.039,2017-06-29,ONAQ_042,ONAQ_042-M-8-24-20170629,8.69,7.56
0.04,2017-06-29,ONAQ_044,ONAQ_044-M-19-8-20170629,8.57,7.37
0.032,2017-06-29,ONAQ_044,ONAQ_044-M-39.5-9.5-20170629,8.63,7.5
0.042,2017-06-29,ONAQ_044,ONAQ_044-M-30.5-38-20170629,8.7,7.41
0.071,2017-10-15,ONAQ_002,ONAQ_002-M-3.5-29.5-20171015,8.37,7.29
0.079,2017-10-15,ONAQ_002,ONAQ_002-M-5-19.5-20171015,8.23,7.48
0.079,2017-10-15,ONAQ_002,ONAQ_002-M-31.5-37-20171015,8.21,7.56
0.085,2017-10-15,ONAQ_003,ONAQ_003-M-22.5-5.5-20171015,9.35,7.89
0.093,2017-10-15,ONAQ_003,ONAQ_003-M-4-27-20171015,8.38,7.63
0.102,2017-10-15,ONAQ_003,ONAQ_003-M-28-39-20171015,8.34,7.63
0.077,2017-10-16,ONAQ_004,ONAQ_004-M-6.5-13-20171016,9.38,7.51
0.077,2017-10-16,ONAQ_004,ONAQ_004-M-16-39.5-20171016,9.2,7.72
0.077,2017-10-16,ONAQ_004,ONAQ_004-M-33-26-20171016,9.25,7.71
0.063,2017-10-16,ONAQ_008,ONAQ_008-M-16-5.5-20171016,8.21,7.54
0.091,2017-10-16,ONAQ_008,ONAQ_008-M-30-26.5-20171016,8.23,7.42
0.079,2017-10-16,ONAQ_008,ONAQ_008-M-38-9-20171016,8.34,7.66
0.103,2017-10-17,ONAQ_005,ONAQ_005-M-37.5-10.5-20171017,8.69,7.87
0.091,2017-10-17,ONAQ_005,ONAQ_005-M-35.5-39.5-20171017,8.49,7.75
0.099,2017-10-17,ONAQ_005,ONAQ_005-M-8.5-19.5-20171017,8.57,7.81
0.079,2017-10-17,ONAQ_010,ONAQ_010-M-10-4-20171017,7.9,7.19
0.109,2017-10-17,ONAQ_010,ONAQ_010-M-10-38-20171017,8.16,7.6
0.104,2017-10-17,ONAQ_010,ONAQ_010-M-27.5-37.5-20171017,8.29,7.57
0.083,2017-10-18,ONAQ_041,ONAQ_041-M-37.5-1.5-20171018,8.41,7.4
0.077,2017-10-18,ONAQ_041,ONAQ_041-M-31-28-20171018,8.42,7.38
0.072,2017-10-18,ONAQ_041,ONAQ_041-M-14.5-9-20171018,8.28,7.33
0.06,2017-10-18,ONAQ_042,ONAQ_042-M-9.5-32.5-20171018,8.6,7.51
0.059,2017-10-18,ONAQ_042,ONAQ_042-M-1.5-4.5-20171018,8.47,7.42
0.056,2017-10-18,ONAQ_042,ONAQ_042-M-35.5-34-20171018,8.51,7.47
0.057,2017-10-19,ONAQ_043,ONAQ_043-M-14-9.5-20171019,8.55,7.55
0.076,2017-10-19,ONAQ_043,ONAQ_043-M-7.5-37-20171019,8.49,7.63
0.048,2017-10-19,ONAQ_043,ONAQ_043-M-39.5-28.5-20171019,8.39,7.61
0.061,2017-10-19,ONAQ_044,ONAQ_044-M-13-0.5-20171019,8.58,7.48
0.047,2017-10-19,ONAQ_044,ONAQ_044-M-19.5-34-20171019,8.58,7.44
0.042,2017-10-19,ONAQ_044,ONAQ_044-M-37.5-23.5-20171019,8.43,7.39
0.204,2018-03-18,ONAQ_004,ONAQ_004-M-28.5-2.5-20180318,7.17,7.87
0.196,2018-03-18,ONAQ_004,ONAQ_004-M-9.5-32-20180318,7.71,7.52
0.178,2018-03-18,ONAQ_004,ONAQ_004-M-39.5-30-20180318,7.94,7.82
0.233,2018-03-18,ONAQ_005,ONAQ_005-M-14-1-20180318,6.44,7.88
0.218,2018-03-18,ONAQ_005,ONAQ_005-M-21-6-20180318,8.12,7.89
0.196,2018-03-18,ONAQ_005,ONAQ_005-M-10.5-31.5-20180318,6.92,7.78
0.195,2018-03-19,ONAQ_003,ONAQ_003-M-13-3.5-20180319,8.68,7.83
0.183,2018-03-19,ONAQ_003,ONAQ_003-M-39.5-10.5-20180319,8.9,7.84
0.252,2018-03-19,ONAQ_003,ONAQ_003-M-30.5-36.5-20180319,8.47,7.81
0.145,2018-03-19,ONAQ_044,ONAQ_044-M-1-18.5-20180319,8.4,7.61
0.164,2018-03-19,ONAQ_044,ONAQ_044-M-11.5-30.5-20180319,8.46,7.5
0.155,2018-03-19,ONAQ_044,ONAQ_044-M-21.5-38-20180319,8.17,7.5
0.133,2018-03-19,ONAQ_042,ONAQ_042-M-16-9-20180319,8.6,7.57
0.156,2018-03-19,ONAQ_042,ONAQ_042-M-35-4-20180319,8.43,7.47
0.142,2018-03-19,ONAQ_042,ONAQ_042-M-35-36-20180319,8.55,7.57
0.272,2018-03-20,ONAQ_010,ONAQ_010-M-11-7-20180320,8.14,7.63
0.303,2018-03-20,ONAQ_010,ONAQ_010-M-36-13.5-20180320,6.74,7.63
0.249,2018-03-20,ONAQ_010,ONAQ_010-M-39-20.5-20180320,7.03,7.72
0.423,2018-03-20,ONAQ_008,ONAQ_008-M-30-29-20180320,8.09,7.96
0.195,2018-03-20,ONAQ_008,ONAQ_008-M-7-30.5-20180320,6.89,7.66
0.194,2018-03-20,ONAQ_008,ONAQ_008-M-8-14.5-20180320,6.65,7.75
0.188,2018-03-21,ONAQ_002,ONAQ_002-M-38.5-30.5-20180321,8.14,7.65
0.184,2018-03-21,ONAQ_002,ONAQ_002-M-6-24-20180321,8.43,7.56
0.197,2018-03-21,ONAQ_002,ONAQ_002-M-5-9-20180321,8.23,7.69
0.139,2018-03-21,ONAQ_043,ONAQ_043-M-38-37-20180321,8.2,7.58
0.157,2018-03-21,ONAQ_043,ONAQ_043-M-4-36-20180321,8.53,7.44
0.141,2018-03-21,ONAQ_043,ONAQ_043-M-2-6.5-20180321,8.22,7.49
0.164,2018-03-21,ONAQ_041,ONAQ_041-M-38.5-32.5-20180321,8.53,7.63
0.167,2018-03-21,ONAQ_041,ONAQ_041-M-27-4-20180321,8.41,7.52
0.153,2018-03-21,ONAQ_041,ONAQ_041-M-19.5-1.5-20180321,8.57,7.61
0.286,2018-05-29,ONAQ_008,ONAQ_008-M-34.5-32.5-20180529,8.06,7.39
0.216,2018-05-29,ONAQ_008,ONAQ_008-M-34-16-20180529,8.15,7.42
0.172,2018-05-29,ONAQ_008,ONAQ_008-M-2-3-20180529,8.1,7.32
0.186,2018-05-29,ONAQ_010,ONAQ_010-M-30.5-37.5-20180529,8.16,7.33
0.222,2018-05-29,ONAQ_010,ONAQ_010-M-39-7.5-20180529,8.07,7.45
0.192,2018-05-29,ONAQ_010,ONAQ_010-M-19-6-20180529,8.06,7.24
0.123,2018-05-29,ONAQ_004,ONAQ_004-M-34.5-30-20180529,8.51,7.45
0.126,2018-05-29,ONAQ_004,ONAQ_004-M-28-7.5-20180529,8.64,7.45
0.118,2018-05-29,ONAQ_004,ONAQ_004-M-0.5-18.5-20180529,8.58,7.54
0.106,2018-05-30,ONAQ_043,ONAQ_043-M-0.5-29-20180530,8.6,7.62
0.124,2018-05-30,ONAQ_043,ONAQ_043-M-25.5-3.5-20180530,8.59,7.71
0.118,2018-05-30,ONAQ_043,ONAQ_043-M-8-14-20180530,8.77,7.76
0.117,2018-05-30,ONAQ_041,ONAQ_041-M-36-33-20180530,8.03,7.51
0.111,2018-05-30,ONAQ_041,ONAQ_041-M-6.5-27-20180530,7.98,7.51
0.094,2018-05-30,ONAQ_041,ONAQ_041-M-39-7.5-20180530,8.09,7.4
0.079,2018-05-30,ONAQ_044,ONAQ_044-M-34.5-25.5-20180530,7.99,7.32
0.086,2018-05-30,ONAQ_044,ONAQ_044-M-36-10-20180530,8.25,7.33
0.078,2018-05-30,ONAQ_044,ONAQ_044-M-18-32-20180530,7.73,7.37
0.107,2018-05-30,ONAQ_042,ONAQ_042-M-30-14-20180530,8.67,7.58
0.081,2018-05-30,ONAQ_042,ONAQ_042-M-11-39-20180530,8.47,7.41
0.087,2018-05-30,ONAQ_042,ONAQ_042-M-2-15.5-20180530,8.51,7.45
0.182,2018-05-30,ONAQ_005,ONAQ_005-M-23-30-20180530,8.34,7.46
0.16,2018-05-30,ONAQ_005,ONAQ_005-M-14-34.5-20180530,8.47,7.45
0.146,2018-05-30,ONAQ_005,ONAQ_005-M-20.5-8-20180530,8.39,7.46
0.118,2018-05-31,ONAQ_002,ONAQ_002-M-25.5-34-20180531,8.42,7.25
0.1,2018-05-31,ONAQ_002,ONAQ_002-M-26.5-5-20180531,8.42,7.32
0.127,2018-05-31,ONAQ_002,ONAQ_002-M-16-1-20180531,8.33,7.28
0.163,2018-05-31,ONAQ_003,ONAQ_003-M-30.5-23-20180531,8.23,7.37
0.183,2018-05-31,ONAQ_003,ONAQ_003-M-11-38.5-20180531,8.18,7.38
0.171,2018-05-31,ONAQ_003,ONAQ_003-M-4-14.5-20180531,8.33,7.39
0.083,2018-10-22,ONAQ_002,ONAQ_002-M-30-10-20181022,7.95,7.75
0.086,2018-10-22,ONAQ_002,ONAQ_002-M-9-26-20181022,8.52,7.46
0.089,2018-10-22,ONAQ_002,ONAQ_002-M-1.5-14.5-20181022,8.48,7.63
0.099,2018-10-22,ONAQ_003,ONAQ_003-M-31.5-38-20181022,8.43,7.64
0.093,2018-10-22,ONAQ_003,ONAQ_003-M-0.5-24.5-20181022,8.41,7.5
0.085,2018-10-22,ONAQ_003,ONAQ_003-M-0-1-20181022,8.53,7.62
0.07,2018-10-22,ONAQ_005,ONAQ_005-M-33.5-31.5-20181022,8.45,7.52
0.085,2018-10-22,ONAQ_005,ONAQ_005-M-14.5-35.5-20181022,8.2,7.71
0.066,2018-10-22,ONAQ_005,ONAQ_005-M-7.5-15.5-20181022,8.28,7.63
0.129,2018-10-23,ONAQ_008,ONAQ_008-M-37-36-20181023,8.25,7.7
0.145,2018-10-23,ONAQ_008,ONAQ_008-M-34-17.5-20181023,8.35,7.8
0.169,2018-10-23,ONAQ_008,ONAQ_008-M-3.5-12-20181023,8.24,7.69
0.208,2018-10-23,ONAQ_010,ONAQ_010-M-29.5-39.5-20181023,8.27,7.63
0.195,2018-10-23,ONAQ_010,ONAQ_010-M-5.5-37.5-20181023,8.24,7.78
0.188,2018-10-23,ONAQ_010,ONAQ_010-M-36.5-7.5-20181023,8.27,7.71
0.116,2018-10-24,ONAQ_004,ONAQ_004-M-21.5-35.5-20181024,8.78,8.11
0.102,2018-10-24,ONAQ_004,ONAQ_004-M-33.5-13-20181024,9.03,8.06
0.09,2018-10-24,ONAQ_004,ONAQ_004-M-18.5-1-20181024,8.82,8.03
0.053,2018-10-24,ONAQ_043,ONAQ_043-M-38.5-26-20181024,8.55,8
0.063,2018-10-24,ONAQ_043,ONAQ_043-M-17-36-20181024,8.26,7.93
0.063,2018-10-24,ONAQ_043,ONAQ_043-M-0-11-20181024,8.73,8.01
0.046,2018-10-24,ONAQ_042,ONAQ_042-M-35.5-27.5-20181024,8.72,8.03
0.065,2018-10-24,ONAQ_042,ONAQ_042-M-2.5-37-20181024,8.56,7.94
0.036,2018-10-24,ONAQ_042,ONAQ_042-M-0-8-20181024,8.64,8.04
0.064,2018-10-25,ONAQ_041,ONAQ_041-M-36.5-27-20181025,8.91,8
0.078,2018-10-25,ONAQ_041,ONAQ_041-M-33-15.5-20181025,9.02,7.98
0.072,2018-10-25,ONAQ_041,ONAQ_041-M-1-29.5-20181025,8.78,8.01
0.054,2018-10-25,ONAQ_044,ONAQ_044-M-31-31.5-20181025,8.97,8.01
0.049,2018-10-25,ONAQ_044,ONAQ_044-M-32.5-0.5-20181025,8.91,7.88
0.059,2018-10-25,ONAQ_044,ONAQ_044-M-11-2-20181025,8.81,7.97
0.324,2019-03-25,ONAQ_008,ONAQ_008-M-30.5-34-20190325,8.29,7.49
0.331,2019-03-25,ONAQ_008,ONAQ_008-M-11-3.5-20190325,8.27,7.35
0.247,2019-03-25,ONAQ_008,ONAQ_008-M-7.5-26.5-20190325,8.36,7.51
0.251,2019-03-26,ONAQ_004,ONAQ_004-M-6-15.5-20190326,9.61,8.25
0.234,2019-03-26,ONAQ_004,ONAQ_004-M-1-28-20190326,9.43,7.7
0.273,2019-03-26,ONAQ_010,ONAQ_010-M-6.5-8.5-20190326,8.13,7.41
0.234,2019-03-26,ONAQ_004,ONAQ_004-M-33-20-20190326,8.65,7.5
0.245,2019-03-26,ONAQ_010,ONAQ_010-M-26.5-5-20190326,8.28,7.41
0.241,2019-03-26,ONAQ_010,ONAQ_010-M-29.5-38-20190326,8.35,7.32
0.229,2019-03-27,ONAQ_005,ONAQ_005-M-6.5-17.5-20190327,8.6,7.5
0.219,2019-03-27,ONAQ_005,ONAQ_005-M-33-18.5-20190327,8.54,7.61
0.188,2019-03-27,ONAQ_005,ONAQ_005-M-36-26.5-20190327,8.88,7.71
0.167,2019-03-27,ONAQ_041,ONAQ_041-M-5-12.5-20190327,8.78,7.74
0.186,2019-03-27,ONAQ_041,ONAQ_041-M-29-4.5-20190327,8.74,7.69
0.179,2019-03-27,ONAQ_041,ONAQ_041-M-18.5-36-20190327,8.74,7.51
0.152,2019-03-27,ONAQ_044,ONAQ_044-M-8-10.5-20190327,8.73,7.45
0.151,2019-03-27,ONAQ_044,ONAQ_044-M-6.5-29-20190327,8.79,7.62
0.131,2019-03-27,ONAQ_044,ONAQ_044-M-39.5-24.5-20190327,8.63,7.32
0.172,2019-04-09,ONAQ_002,ONAQ_002-M-35.5-33-20190409,NA,NA
0.178,2019-04-09,ONAQ_002,ONAQ_002-M-39.5-13-20190409,NA,NA
0.198,2019-04-09,ONAQ_002,ONAQ_002-M-13-4.5-20190409,NA,NA
0.211,2019-04-09,ONAQ_003,ONAQ_003-M-3-38-20190409,NA,NA
0.15,2019-04-09,ONAQ_003,ONAQ_003-M-34-6-20190409,NA,NA
0.15,2019-04-09,ONAQ_003,ONAQ_003-M-13-2-20190409,NA,NA
0.132,2019-04-09,ONAQ_042,ONAQ_042-M-17.5-4.5-20190409,NA,NA
0.148,2019-04-09,ONAQ_042,ONAQ_042-M-23.5-7.5-20190409,NA,NA
0.13,2019-04-09,ONAQ_043,ONAQ_043-M-22.5-36.5-20190409,NA,NA
0.146,2019-04-09,ONAQ_042,ONAQ_042-M-11-30-20190409,NA,NA
0.153,2019-04-09,ONAQ_043,ONAQ_043-M-7-23.5-20190409,NA,NA
0.154,2019-04-09,ONAQ_043,ONAQ_043-M-18.5-3.5-20190409,NA,NA
