Species_ID,Species,Common_Name,Kingdom,Species_Functional_Type,Species_Category,USDA_PLANTS_Symbol,ITIS_Number,Phenophase_ID,Phenophase_Category,Phenophase_Description,Year,Start_Date,Start_Date_DOY,End_Date,End_Date_DOY,Status_Records_Sample_Size,Individuals_Sample_Size,Sites_Sample_Size,Num_Yes_Records,NumIndividuals_with_Yes_Record,NumSites_with_Yes_Record,Proportion_Yes_Records,Proportion_Individuals_with_Yes_Record,Proportion_Sites_with_Yes_Record,In-Phase_Search_Method,In-Phase_Sites_Sample_Size,In-Phase_Site_Visits_Sample_Size,Total_NumAnimals_In-Phase,Mean_NumAnimals_In-Phase,SE_NumAnimals_In-Phase,SD_NumAnimals_In-Phase,In-Phase_per_Hr_Search_Method,In-Phase_per_Hr_Sites_Sample_Size,In-Phase_per_Hr_Site_Visits_Sample_Size,Mean_NumAnimals_In-Phase_per_Hr,SE_NumAnimals_In-Phase_per_Hr,SD_NumAnimals_In-Phase_per_Hr,In-Phase_per_Hr_per_Acre_Sites_Sample_Size,In-Phase_per_Hr_per_Acre_Site_Visits_Sample_Size,Mean_NumAnimals_In-Phase_per_Hr_per_Acre,SE_NumAnimals_In-Phase_per_Hr_per_Acre,SD_NumAnimals_In-Phase_per_Hr_per_Acre
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-02-12,43,2017-02-18,49,60,30,1,3,2,-9999,0.05,0.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-02-19,50,2017-02-25,56,30,30,1,2,2,-9999,0.07,0.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-03-05,64,2017-03-11,70,60,30,1,15,14,-9999,0.25,0.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-03-12,71,2017-03-18,77,89,30,1,81,30,-9999,0.91,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-03-19,78,2017-03-25,84,89,30,1,88,30,-9999,0.99,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-03-26,85,2017-04-01,91,90,30,1,90,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-04-02,92,2017-04-08,98,90,30,1,90,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-04-09,99,2017-04-15,105,90,30,1,90,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-04-16,106,2017-04-22,112,30,30,1,30,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-04-23,113,2017-04-29,119,30,30,1,30,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-04-30,120,2017-05-06,126,30,30,1,30,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-05-07,127,2017-05-13,133,30,30,1,30,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-05-14,134,2017-05-20,140,30,30,1,30,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-05-21,141,2017-05-27,147,30,30,1,30,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-05-28,148,2017-06-03,154,30,30,1,30,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-06-11,162,2017-06-17,168,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-06-25,176,2017-07-01,182,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-10-15,288,2017-10-21,294,32,32,2,10,10,-9999,0.31,0.31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-10-29,302,2017-11-04,308,33,33,2,14,14,-9999,0.42,0.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-11-12,316,2017-11-18,322,32,32,2,6,6,-9999,0.19,0.19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2017,2017-11-26,330,2017-12-02,336,33,33,2,20,20,-9999,0.61,0.61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-02-12,43,2017-02-18,49,60,30,1,41,25,-9999,0.68,0.83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-02-19,50,2017-02-25,56,30,30,1,24,24,-9999,0.8,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-03-05,64,2017-03-11,70,60,30,1,60,30,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-03-12,71,2017-03-18,77,90,30,1,85,30,-9999,0.94,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-03-19,78,2017-03-25,84,88,30,1,38,24,-9999,0.43,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-03-26,85,2017-04-01,91,89,30,1,14,10,-9999,0.16,0.33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-04-02,92,2017-04-08,98,90,30,1,31,24,-9999,0.34,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-04-09,99,2017-04-15,105,90,30,1,58,29,-9999,0.64,0.97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-04-16,106,2017-04-22,112,30,30,1,3,3,-9999,0.1,0.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-04-23,113,2017-04-29,119,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-04-30,120,2017-05-06,126,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-05-07,127,2017-05-13,133,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-05-14,134,2017-05-20,140,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-05-21,141,2017-05-27,147,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-05-28,148,2017-06-03,154,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-06-11,162,2017-06-17,168,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-06-25,176,2017-07-01,182,30,30,1,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-10-15,288,2017-10-21,294,32,32,2,2,2,-9999,0.06,0.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-10-29,302,2017-11-04,308,33,33,2,5,5,-9999,0.15,0.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-11-12,316,2017-11-18,322,32,32,2,6,6,-9999,0.19,0.19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,492,Leaves,Initial growth (grasses/sedges),2017,2017-11-26,330,2017-12-02,336,33,33,2,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-02-05,36,2018-02-11,42,66,33,2,31,17,-9999,0.47,0.52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-02-12,43,2018-02-18,49,99,33,2,62,27,-9999,0.63,0.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-03-05,64,2018-03-11,70,2,2,1,2,2,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-03-12,71,2018-03-18,77,99,33,2,72,28,-9999,0.73,0.85,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-03-19,78,2018-03-25,84,99,33,2,74,29,-9999,0.75,0.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-03-26,85,2018-04-01,91,99,33,2,86,29,-9999,0.87,0.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-04-02,92,2018-04-08,98,99,33,2,86,31,-9999,0.87,0.94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-04-09,99,2018-04-15,105,99,33,2,84,29,-9999,0.85,0.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-04-16,106,2018-04-22,112,33,33,2,29,29,-9999,0.88,0.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-04-23,113,2018-04-29,119,33,33,2,31,31,-9999,0.94,0.94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-04-30,120,2018-05-06,126,33,33,2,30,30,-9999,0.91,0.91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-05-07,127,2018-05-13,133,33,33,2,30,30,-9999,0.91,0.91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-05-14,134,2018-05-20,140,33,33,2,30,30,-9999,0.91,0.91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-05-21,141,2018-05-27,147,33,33,2,30,30,-9999,0.91,0.91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-05-28,148,2018-06-03,154,33,33,2,26,26,-9999,0.79,0.79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-06-11,162,2018-06-17,168,33,33,2,2,2,-9999,0.06,0.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-06-25,176,2018-07-01,182,33,33,2,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-07-09,190,2018-07-15,196,33,33,2,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-07-23,204,2018-07-29,210,33,33,2,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-08-06,218,2018-08-12,224,33,33,2,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-08-20,232,2018-08-26,238,33,33,2,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-09-03,246,2018-09-09,252,33,33,2,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-09-17,260,2018-09-23,266,33,33,2,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-10-01,274,2018-10-07,280,33,33,2,0,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-10-15,288,2018-10-21,294,33,33,2,7,7,-9999,0.21,0.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-10-29,302,2018-11-04,308,33,33,2,24,24,-9999,0.73,0.73,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,tectorum,cheatgrass,Plantae,Graminoid,Invasive Plants,BRTE,40524,489,Leaves,Leaves (grasses),2018,2018-11-12,316,2018-11-18,322,33,33,2,4,4,-9999,0.12,0.12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
